FID,Division,Line,Station_Na,Station_La,Station_Lo,Route_1,Route_2,Route_3,Route_4,Route_5,Route_6,Route_7,Route_8,Route_9,Route_10,Route_11,Entrance_T,Entry,Exit_Only,Vending,Staffing,Staff_Hour,ADA,ADA_Notes,Free_Cross,North_Sout,East_West_,Corner,Latitude,Longitude,GEOID,NAMELSAD
0,BMT,Astoria,Ditmars Blvd,40.775036,-73.912034,N,Q, , , , , ,0,0,0,0,Stair,YES, ,YES,FULL, ,FALSE, ,TRUE,31st St,23rd Ave,NW,40.775149,-73.912074,36081,Queens County
1,BMT,Astoria,Ditmars Blvd,40.775036,-73.912034,N,Q, , , , , ,0,0,0,0,Stair,YES, ,YES,FULL, ,FALSE, ,TRUE,31st St,23rd Ave,NE,40.77481,-73.912151,36081,Queens County
2,BMT,Astoria,Ditmars Blvd,40.775036,-73.912034,N,Q, , , , , ,0,0,0,0,Stair,YES, ,YES,FULL, ,FALSE, ,TRUE,31st St,23rd Ave,NE,40.775025,-73.911891,36081,Queens County
3,BMT,Astoria,Ditmars Blvd,40.775036,-73.912034,N,Q, , , , , ,0,0,0,0,Stair,YES, ,YES,FULL, ,FALSE, ,TRUE,31st St,23rd Ave,NW,40.774938,-73.912337,36081,Queens County
4,BMT,Astoria,Astoria Blvd-Hoyt Av,40.770258,-73.917843,N,Q, , , , , ,0,0,0,0,Stair,YES, ,YES,FULL, ,FALSE, ,TRUE,31st St,Hoyt Ave South,SW,40.770313,-73.917978,36081,Queens County
5,BMT,Astoria,Astoria Blvd-Hoyt Av,40.770258,-73.917843,N,Q, , , , , ,0,0,0,0,Stair,YES, ,YES,FULL, ,FALSE, ,TRUE,31st St,Hoyt Ave South,SE,40.77017,-73.917755,36081,Queens County
6,BMT,Astoria,Astoria Blvd-Hoyt Av,40.770258,-73.917843,N,Q, , , , , ,0,0,0,0,Stair,YES, ,YES,FULL, ,FALSE, ,TRUE,31st St,Hoyt Ave North,NW,40.771009,-73.917167,36081,Queens County
7,BMT,Astoria,Astoria Blvd-Hoyt Av,40.770258,-73.917843,N,Q, , , , , ,0,0,0,0,Stair,YES, ,YES,FULL, ,FALSE, ,TRUE,31st St,Hoyt Ave North,NE,40.77087,-73.916935,36081,Queens County
8,BMT,Astoria,30 Av-Grand Av,40.766779,-73.921479,N,Q, , , , , ,0,0,0,0,Stair,YES, ,YES,FULL, ,FALSE, ,TRUE,31st St,30th Ave,SW,40.766787,-73.921629,36081,Queens County
9,BMT,Astoria,30 Av-Grand Av,40.766779,-73.921479,N,Q, , , , , ,0,0,0,0,Stair,YES, ,YES,FULL, ,FALSE, ,TRUE,31st St,30th Ave,SE,40.7667,-73.921406,36081,Queens County
10,BMT,Astoria,30 Av-Grand Av,40.766779,-73.921479,N,Q, , , , , ,0,0,0,0,Stair,YES, ,YES,FULL, ,FALSE, ,TRUE,31st St,30th Ave,NW,40.767052,-73.921409,36081,Queens County
11,BMT,Astoria,30 Av-Grand Av,40.766779,-73.921479,N,Q, , , , , ,0,0,0,0,Stair,YES, ,YES,FULL, ,FALSE, ,TRUE,31st St,30th Ave,NE,40.766963,-73.921192,36081,Queens County
12,BMT,Astoria,Broadway,40.76182,-73.925508,N,Q, , , , , ,0,0,0,0,Stair,YES, ,YES,FULL, ,FALSE, ,TRUE,31st St,Broadway,SW,40.76188,-73.925638,36081,Queens County
13,BMT,Astoria,Broadway,40.76182,-73.925508,N,Q, , , , , ,0,0,0,0,Stair,YES, ,YES,FULL, ,FALSE, ,TRUE,31st St,Broadway,SE,40.761773,-73.925399,36081,Queens County
14,BMT,Astoria,Broadway,40.76182,-73.925508,N,Q, , , , , ,0,0,0,0,Stair,YES, ,YES,FULL, ,FALSE, ,TRUE,31st St,Broadway,NW,40.762217,-73.925349,36081,Queens County
15,BMT,Astoria,36 Av-Washington Av,40.756804,-73.929575,N,Q, , , , , ,0,0,0,0,Stair,YES, ,YES,FULL, ,FALSE, ,TRUE,31st St,36th Ave,SW,40.756478,-73.929993,36081,Queens County
16,BMT,Astoria,36 Av-Washington Av,40.756804,-73.929575,N,Q, , , , , ,0,0,0,0,Stair,YES, ,YES,FULL, ,FALSE, ,TRUE,31st St,36th Ave,SE,40.756379,-73.929766,36081,Queens County
17,BMT,Astoria,36 Av-Washington Av,40.756804,-73.929575,N,Q, , , , , ,0,0,0,0,Stair,YES, ,YES,FULL, ,FALSE, ,TRUE,31st St,36th Ave,NW,40.756796,-73.92974,36081,Queens County
18,BMT,Astoria,39 Av-Beebe Av,40.752882,-73.932755,N,Q, , , , , ,0,0,0,0,Stair,YES, ,YES,FULL, ,FALSE, ,TRUE,31st St,39th Ave,NW,40.752901,-73.932903,36081,Queens County
19,BMT,Astoria,39 Av-Beebe Av,40.752882,-73.932755,N,Q, , , , , ,0,0,0,0,Stair,YES, ,YES,FULL, ,FALSE, ,TRUE,31st St,39th Ave,SE,40.752491,-73.932936,36081,Queens County
20,BMT,Broadway,5th Av,40.764811,-73.973347,N,Q,R, , , , ,0,0,0,0,Stair,YES, ,YES,FULL, ,FALSE, ,TRUE,5th Ave,60th St,NW,40.765156,-73.972501,36061,New York County
