FID,Division,Line,Station_Na,Station_La,Station_Lo,Route_1,Route_2,Route_3,Route_4,Route_5,Route_6,Route_7,Route_8,Route_9,Route_10,Route_11,Entrance_T,Entry,Exit_Only,Vending,Staffing,Staff_Hour,ADA,ADA_Notes,Free_Cross,North_Sout,East_West_,Corner,Latitude,Longitude,GEOID,NAMELSAD
0,BMT,Astoria,Ditmars Blvd,40.775036000000000,-73.912034000000006,N,Q, , , , , ,0,0,0,0,Stair,YES, ,YES,FULL, ,FALSE, ,TRUE,31st St,23rd Ave,NW,40.775148999999999,-73.912074000000004,36081,Queens County
1,BMT,Astoria,Ditmars Blvd,40.775036000000000,-73.912034000000006,N,Q, , , , , ,0,0,0,0,Stair,YES, ,YES,FULL, ,FALSE, ,TRUE,31st St,23rd Ave,NE,40.774810000000002,-73.912150999999994,36081,Queens County
2,BMT,Astoria,Ditmars Blvd,40.775036000000000,-73.912034000000006,N,Q, , , , , ,0,0,0,0,Stair,YES, ,YES,FULL, ,FALSE, ,TRUE,31st St,23rd Ave,NE,40.775024999999999,-73.911890999999997,36081,Queens County
3,BMT,Astoria,Ditmars Blvd,40.775036000000000,-73.912034000000006,N,Q, , , , , ,0,0,0,0,Stair,YES, ,YES,FULL, ,FALSE, ,TRUE,31st St,23rd Ave,NW,40.774937999999999,-73.912336999999994,36081,Queens County
4,BMT,Astoria,Astoria Blvd-Hoyt Av,40.770257999999998,-73.917843000000005,N,Q, , , , , ,0,0,0,0,Stair,YES, ,YES,FULL, ,FALSE, ,TRUE,31st St,Hoyt Ave South,SW,40.770313000000002,-73.917978000000005,36081,Queens County
5,BMT,Astoria,Astoria Blvd-Hoyt Av,40.770257999999998,-73.917843000000005,N,Q, , , , , ,0,0,0,0,Stair,YES, ,YES,FULL, ,FALSE, ,TRUE,31st St,Hoyt Ave South,SE,40.770170000000000,-73.917755000000000,36081,Queens County
6,BMT,Astoria,Astoria Blvd-Hoyt Av,40.770257999999998,-73.917843000000005,N,Q, , , , , ,0,0,0,0,Stair,YES, ,YES,FULL, ,FALSE, ,TRUE,31st St,Hoyt Ave North,NW,40.771008999999999,-73.917167000000006,36081,Queens County
7,BMT,Astoria,Astoria Blvd-Hoyt Av,40.770257999999998,-73.917843000000005,N,Q, , , , , ,0,0,0,0,Stair,YES, ,YES,FULL, ,FALSE, ,TRUE,31st St,Hoyt Ave North,NE,40.770870000000002,-73.916934999999995,36081,Queens County
8,BMT,Astoria,30 Av-Grand Av,40.766779000000000,-73.921479000000005,N,Q, , , , , ,0,0,0,0,Stair,YES, ,YES,FULL, ,FALSE, ,TRUE,31st St,30th Ave,SW,40.766787000000001,-73.921628999999996,36081,Queens County
9,BMT,Astoria,30 Av-Grand Av,40.766779000000000,-73.921479000000005,N,Q, , , , , ,0,0,0,0,Stair,YES, ,YES,FULL, ,FALSE, ,TRUE,31st St,30th Ave,SE,40.766700000000000,-73.921406000000005,36081,Queens County
10,BMT,Astoria,30 Av-Grand Av,40.766779000000000,-73.921479000000005,N,Q, , , , , ,0,0,0,0,Stair,YES, ,YES,FULL, ,FALSE, ,TRUE,31st St,30th Ave,NW,40.767052000000000,-73.921408999999997,36081,Queens County
11,BMT,Astoria,30 Av-Grand Av,40.766779000000000,-73.921479000000005,N,Q, , , , , ,0,0,0,0,Stair,YES, ,YES,FULL, ,FALSE, ,TRUE,31st St,30th Ave,NE,40.766962999999997,-73.921192000000005,36081,Queens County
12,BMT,Astoria,Broadway,40.761820000000000,-73.925507999999994,N,Q, , , , , ,0,0,0,0,Stair,YES, ,YES,FULL, ,FALSE, ,TRUE,31st St,Broadway,SW,40.761879999999998,-73.925638000000006,36081,Queens County
13,BMT,Astoria,Broadway,40.761820000000000,-73.925507999999994,N,Q, , , , , ,0,0,0,0,Stair,YES, ,YES,FULL, ,FALSE, ,TRUE,31st St,Broadway,SE,40.761772999999998,-73.925398999999999,36081,Queens County
14,BMT,Astoria,Broadway,40.761820000000000,-73.925507999999994,N,Q, , , , , ,0,0,0,0,Stair,YES, ,YES,FULL, ,FALSE, ,TRUE,31st St,Broadway,NW,40.762217000000000,-73.925348999999997,36081,Queens County
15,BMT,Astoria,36 Av-Washington Av,40.756804000000002,-73.929575000000000,N,Q, , , , , ,0,0,0,0,Stair,YES, ,YES,FULL, ,FALSE, ,TRUE,31st St,36th Ave,SW,40.756478000000001,-73.929992999999996,36081,Queens County
16,BMT,Astoria,36 Av-Washington Av,40.756804000000002,-73.929575000000000,N,Q, , , , , ,0,0,0,0,Stair,YES, ,YES,FULL, ,FALSE, ,TRUE,31st St,36th Ave,SE,40.756379000000003,-73.929766000000001,36081,Queens County
17,BMT,Astoria,36 Av-Washington Av,40.756804000000002,-73.929575000000000,N,Q, , , , , ,0,0,0,0,Stair,YES, ,YES,FULL, ,FALSE, ,TRUE,31st St,36th Ave,NW,40.756796000000001,-73.929739999999995,36081,Queens County
18,BMT,Astoria,39 Av-Beebe Av,40.752882000000000,-73.932755000000000,N,Q, , , , , ,0,0,0,0,Stair,YES, ,YES,FULL, ,FALSE, ,TRUE,31st St,39th Ave,NW,40.752901000000001,-73.932902999999996,36081,Queens County
19,BMT,Astoria,39 Av-Beebe Av,40.752882000000000,-73.932755000000000,N,Q, , , , , ,0,0,0,0,Stair,YES, ,YES,FULL, ,FALSE, ,TRUE,31st St,39th Ave,SE,40.752490999999999,-73.932935999999998,36081,Queens County
20,BMT,Broadway,5th Av,40.764811000000002,-73.973347000000004,N,Q,R, , , , ,0,0,0,0,Stair,YES, ,YES,FULL, ,FALSE, ,TRUE,5th Ave,60th St,NW,40.765155999999998,-73.972500999999994,36061,New York County
21,BMT,Broadway,5th Av,40.764811000000002,-73.973347000000004,N,Q,R, , , , ,0,0,0,0,Stair,YES, ,YES,FULL, ,FALSE, ,TRUE,5th Ave,60th St,SE,40.764727999999998,-73.972396000000003,36061,New York County
22,BMT,Broadway,5th Av,40.764811000000002,-73.973347000000004,N,Q,R, , , , ,0,0,0,0,Stair,YES, ,YES,FULL, ,FALSE, ,TRUE,5th Ave,60th St,NE,40.764848999999998,-73.972306000000003,36061,New York County
23,BMT,Broadway,5th Av,40.764811000000002,-73.973347000000004,N,Q,R, , , , ,0,0,0,0,Stair,YES, ,YES,FULL, ,FALSE, ,TRUE,5th Ave,60th St,SE,40.764657000000000,-73.972228999999999,36061,New York County
24,BMT,Broadway,57th St,40.764664000000003,-73.980658000000005,N,Q,R, , , , ,0,0,0,0,Stair,YES, ,YES,FULL, ,FALSE, ,TRUE,7th Ave,57th St,SW,40.765365000000003,-73.980340999999996,36061,New York County
25,BMT,Broadway,57th St,40.764664000000003,-73.980658000000005,N,Q,R, , , , ,0,0,0,0,Stair,YES, ,YES,FULL, ,FALSE, ,TRUE,7th Ave,57th St,SE,40.765298000000001,-73.980033000000006,36061,New York County
26,BMT,Broadway,57th St,40.764664000000003,-73.980658000000005,N,Q,R, , , , ,0,0,0,0,Stair,YES, ,YES,FULL, ,FALSE, ,TRUE,7th Ave,57th St,NW,40.765796000000002,-73.980012000000002,36061,New York County
27,BMT,Broadway,57th St,40.764664000000003,-73.980658000000005,N,Q,R, , , , ,0,0,0,0,Stair,YES, ,YES,FULL, ,FALSE, ,TRUE,7th Ave,57th St,NE,40.765639000000000,-73.979764000000003,36061,New York County
28,BMT,Broadway,49th St,40.759900999999999,-73.984138999999999,N,Q,R, , , , ,0,0,0,0,Stair,YES, ,YES,FULL, ,TRUE,Northbound Only,FALSE,7th Ave,49th St,SW,40.760486000000000,-73.983974000000003,36061,New York County
29,BMT,Broadway,49th St,40.759900999999999,-73.984138999999999,N,Q,R, , , , ,0,0,0,0,Stair,YES, ,YES,FULL, ,TRUE,Northbound Only,FALSE,7th Ave,49th St,NW,40.760621000000000,-73.983903999999995,36061,New York County
30,BMT,Broadway,28th St,40.745494000000001,-73.988691000000003,N,R, , , , , ,0,0,0,0,Stair,YES, ,YES,FULL, ,FALSE, ,FALSE,Broadway,28th St,SE,40.745089000000000,-73.988472000000002,36061,New York County
31,BMT,Broadway,28th St,40.745494000000001,-73.988691000000003,N,R, , , , , ,0,0,0,0,Stair,YES, ,YES,FULL, ,FALSE, ,FALSE,Broadway,28th St,NE,40.745299000000003,-73.988579000000001,36061,New York County
32,BMT,Broadway,23rd St,40.741303000000002,-73.989344000000003,N,R, , , , , ,0,0,0,0,Stair,YES, ,YES,FULL, ,FALSE, ,FALSE,Broadway,23rd St,SE,40.741079999999997,-73.989082999999994,36061,New York County
33,BMT,Broadway,23rd St,40.741303000000002,-73.989344000000003,N,R, , , , , ,0,0,0,0,Stair,YES, ,YES,FULL, ,FALSE, ,FALSE,Broadway,23rd St,SE,40.741110999999997,-73.988919999999993,36061,New York County
34,BMT,Broadway,23rd St,40.741303000000002,-73.989344000000003,N,R, , , , , ,0,0,0,0,Stair,YES, ,YES,FULL, ,FALSE, ,FALSE,Broadway,23rd St,NE,40.741377999999997,-73.988894999999999,36061,New York County
35,BMT,Broadway,23rd St,40.741303000000002,-73.989344000000003,N,R, , , , , ,0,0,0,0,Stair,YES, ,YES,FULL, ,FALSE, ,FALSE,Broadway,23rd St,NE,40.741539000000003,-73.988989000000004,36061,New York County
36,BMT,Broadway,Union Square,40.735736000000003,-73.990567999999996,L,N,Q,R,4,5,6,0,0,0,0,Stair,YES, ,YES,FULL, ,TRUE,Lex not ADA,TRUE,Broadway,14th St,NE,40.735278000000001,-73.991057999999995,36061,New York County
37,BMT,Broadway,8th St,40.730328000000000,-73.992628999999994,N,R, , , , , ,0,0,0,0,Stair,YES, ,YES,FULL, ,FALSE, ,FALSE,Broadway,8th Ave,SE,40.730477000000000,-73.992285999999993,36061,New York County
38,BMT,Broadway,8th St,40.730328000000000,-73.992628999999994,N,R, , , , , ,0,0,0,0,Stair,YES, ,YES,FULL, ,FALSE, ,FALSE,Broadway,8th Ave,NE,40.730578000000001,-73.992215999999999,36061,New York County
39,BMT,Broadway,Prince St,40.724328999999997,-73.997702000000004,N,R, , , , , ,0,0,0,0,Stair,YES, ,YES,FULL, ,FALSE, ,FALSE,Broadway,Prince St,SE,40.724124000000003,-73.997686000000002,36061,New York County
40,BMT,Broadway,Prince St,40.724328999999997,-73.997702000000004,N,R, , , , , ,0,0,0,0,Stair,YES, ,YES,FULL, ,FALSE, ,FALSE,Broadway,Prince St,NE,40.724220000000003,-73.997632999999993,36061,New York County
41,BMT,Broadway,City Hall,40.713282000000000,-74.006978000000004,R, , , , , , ,0,0,0,0,Stair,YES, ,YES,FULL, ,FALSE, ,TRUE,Broadway,Warren St,SE,40.713110000000000,-74.007045000000005,36061,New York County
42,BMT,Broadway,City Hall,40.713282000000000,-74.006978000000004,R, , , , , , ,0,0,0,0,Stair,YES, ,YES,FULL, ,FALSE, ,TRUE,Broadway,Warren St,NE,40.713436999999999,-74.006760000000000,36061,New York County
43,BMT,Broadway,City Hall,40.713282000000000,-74.006978000000004,R, , , , , , ,0,0,0,0,Stair,YES, ,YES,FULL, ,FALSE, ,TRUE,Broadway,Warren St,SE,40.713521000000000,-74.006697000000003,36061,New York County
44,BMT,Broadway,Cortlandt St,40.710667999999998,-74.011028999999994,R, , , , , , ,0,0,0,0,Stair,NO, ,NO,FULL, ,FALSE, ,TRUE,Church St,Dey St,NE,40.710870999999997,-74.010767000000001,36061,New York County
45,BMT,Broadway,Cortlandt St,40.710667999999998,-74.011028999999994,R, , , , , , ,0,0,0,0,Stair,NO, ,NO,FULL, ,FALSE, ,TRUE,Church St,Dey St,SE,40.711064999999998,-74.010643999999999,36061,New York County
46,BMT,Broadway,Rector St,40.707220000000000,-74.013341999999994,R, , , , , , ,0,0,0,0,Stair,YES, ,YES,FULL, ,FALSE, ,FALSE,Trinity Pl,Rector St,SE,40.707647000000001,-74.012923999999998,36061,New York County
47,BMT,Broadway,Rector St,40.707220000000000,-74.013341999999994,R, , , , , , ,0,0,0,0,Stair,YES, ,YES,FULL, ,FALSE, ,FALSE,Trinity Pl,Rector St,NE,40.707901999999997,-74.012773999999993,36061,New York County
48,BMT,Broadway,Rector St,40.707220000000000,-74.013341999999994,R, , , , , , ,0,0,0,0,Stair,YES, ,YES,FULL, ,FALSE, ,FALSE,Trinity Pl,Rector St,NE,40.708027999999999,-74.012696000000005,36061,New York County
49,BMT,Broadway,Whitehall St,40.703086999999996,-74.012994000000006,R,1, , , , , ,0,0,0,0,Stair,YES, ,NO,FULL, ,FALSE, ,TRUE, , , ,40.701937999999998,-74.012587999999994,36061,New York County
50,BMT,Broadway,Whitehall St,40.703086999999996,-74.012994000000006,R,1, , , , , ,0,0,0,0,Stair,YES, ,NO,FULL, ,FALSE, ,TRUE, , , ,40.702108000000003,-74.012642000000000,36061,New York County
51,BMT,Broadway,Whitehall St,40.703086999999996,-74.012994000000006,R,1, , , , , ,0,0,0,0,Stair,YES, ,YES,FULL, ,FALSE, ,TRUE, , , ,40.702108000000003,-74.012642000000000,36061,New York County
52,BMT,Broadway,Lawrence St,40.692180000000000,-73.985941999999994,A,C,F,R, , , ,0,0,0,0,Stair,YES, ,YES,FULL, ,FALSE, ,TRUE,Lawrence St,Willoughby St,SE,40.692113999999997,-73.986107000000004,36047,Kings County
53,BMT,Broadway,Lawrence St,40.692180000000000,-73.985941999999994,A,C,F,R, , , ,0,0,0,0,Stair,YES, ,YES,FULL, ,FALSE, ,TRUE,Lawrence St,Willoughby St,SE,40.692258000000002,-73.986114000000001,36047,Kings County
54,BMT,Broadway,Lawrence St,40.692180000000000,-73.985941999999994,A,C,F,R, , , ,0,0,0,0,Stair,YES, ,YES,FULL, ,FALSE, ,TRUE,Lawrence St,Willoughby St,NE,40.692051999999997,-73.986191000000005,36047,Kings County
55,BMT,Broadway,Lawrence St,40.692180000000000,-73.985941999999994,A,C,F,R, , , ,0,0,0,0,Stair,YES, ,YES,FULL, ,FALSE, ,TRUE,Lawrence St,Willoughby St,NE,40.692359000000003,-73.986181000000002,36047,Kings County
56,BMT,4 Avenue,DeKalb Av,40.690635000000000,-73.981824000000003,B,Q,R, , , , ,0,0,0,0,Elevator,YES, ,YES,FULL, ,TRUE, ,TRUE,Flatbush Ave,De Kalb Ave,SE,40.689804000000002,-73.981164000000007,36047,Kings County
57,BMT,4 Avenue,DeKalb Av,40.690635000000000,-73.981824000000003,B,Q,R, , , , ,0,0,0,0,Stair,YES, ,YES,FULL, ,TRUE, ,TRUE,Flatbush Ave,De Kalb Ave,SW,40.689810000000001,-73.981650999999999,36047,Kings County
58,BMT,4 Avenue,DeKalb Av,40.690635000000000,-73.981824000000003,B,Q,R, , , , ,0,0,0,0,Stair,YES, ,YES,FULL, ,TRUE, ,TRUE,Flatbush Ave,De Kalb Ave,SE,40.689816999999998,-73.981082000000001,36047,Kings County
59,BMT,4 Avenue,DeKalb Av,40.690635000000000,-73.981824000000003,B,Q,R, , , , ,0,0,0,0,Stair,YES, ,YES,FULL, ,TRUE, ,TRUE,Flatbush Ave,De Kalb Ave,SE,40.689740000000000,-73.981155999999999,36047,Kings County
60,BMT,4 Avenue,Atlantic Av-Barclays Ctr,40.683666000000002,-73.978809999999996,B,Q,D,N,R,2,3,4,5,0,0,Elevator,YES, ,YES,FULL, ,TRUE, ,TRUE,4th Ave,Pacific St,NE,40.683805000000000,-73.978487000000001,36047,Kings County
61,BMT,4 Avenue,Pacific St,40.683666000000002,-73.978809999999996,B,Q,D,N,R,2,3,4,5,0,0,Stair,YES, ,YES,FULL, ,TRUE, ,TRUE,4th Ave,Pacific St,NW,40.683905000000003,-73.978879000000006,36047,Kings County
62,BMT,4 Avenue,Pacific St,40.683666000000002,-73.978809999999996,B,Q,D,N,R,2,3,4,5,0,0,Stair,YES, ,YES,FULL, ,TRUE, ,TRUE,4th Ave,Pacific St,NE,40.683928000000002,-73.978412000000006,36047,Kings County
63,BMT,4 Avenue,Union St,40.677315999999998,-73.983109999999996,R, , , , , , ,0,0,0,0,Stair,YES, ,YES,FULL, ,FALSE, ,FALSE,4th Ave,Union St,SE,40.677000999999997,-73.983132999999995,36047,Kings County
64,BMT,4 Avenue,Union St,40.677315999999998,-73.983109999999996,R, , , , , , ,0,0,0,0,Stair,YES, ,YES,FULL, ,FALSE, ,FALSE,4th Ave,Union St,SW,40.677278999999999,-73.983327000000003,36047,Kings County
65,BMT,4 Avenue,Union St,40.677315999999998,-73.983109999999996,R, , , , , , ,0,0,0,0,Stair,YES, ,YES,FULL, ,FALSE, ,FALSE,4th Ave,Union St,SE,40.677171000000001,-73.983019999999996,36047,Kings County
